en	ha
Tennis court.##person,person,tennis racket,bench,tennis racket,potted plant,cell phone,potted plant	Filin wasan tanis.
Three.##sheep,sheep,sheep,sheep	Uku.
What pattern is on tie?##tie,knife,person	Wani tsari ne a jikin ɗamarar wuya?
What color is the front bus?##bus,bus,person,person,person	Mene launin motar bas din?
One.##person,cup,tie,dining table	ɗaya.
1##boat,umbrella,umbrella	1
Bench.##chair,train,potted plant,traffic light	Benci
What color is the dirt?##zebra,zebra	Wani launi ne da dattin?
No one.##toilet,sink,sink	Babu kowa.
Glasses.##person,toilet,backpack	Tabarau.
How many planes are there?##airplane,airplane,airplane	Nawane adadin jiragen sama a gurin?
What is the man doing with left hand?##pizza,person,knife,pizza	Me mutumin yakeyi da hannun hagu?
Hands.##person,person,person,person,cup,person,person,person,person,person	Hannu.
How many children are in the picture?##bowl,person,bowl,chair,chair,dining table,spoon,carrot,carrot,broccoli	Yara nawa ne a jikin hoton?
What is on the building?##clock	Mene ne a jikin ginin?
What color is the writing on the boat?##boat,boat,boat,boat,boat,boat,bird,bird,bird,boat	Mene launin rubuta jikin kwalekwale?
Who is dressed up?##person,person,person,sports ball,tennis racket,tennis racket,tennis racket,tennis racket,baseball bat,tennis racket	Waye yayi ado?
A woman.##umbrella,umbrella,person,person,bench,elephant,person,elephant,person,bench	Matar ce
White.##cat,sink,sink	Fari.
Two.##person,person,person,baseball glove,baseball bat	Biyu.
One.##bench,person,person,person,person	Ɗaya.
Noon.##person,scissors,knife	Tsakiyar rana.
Rain.##umbrella,person,person,umbrella,person,person,person,train	Ruwan sama.
How many people are there?##person,person,orange,orange,orange,orange,orange,orange,orange,orange	Mutane nawa ne a wurin?
What is the man wearing?##person,person,person,bench,bench,bottle	Me mutumin ke sanye dashi?
Left.##boat,boat,boat,boat,boat,boat,chair,boat,boat	Hagu.
A bowtie.##teddy bear,couch,bed,couch	Ɗamarar wuya mai kintinkiri.
The sky.##giraffe,giraffe,giraffe,giraffe,giraffe,giraffe,giraffe,giraffe,bird	Sararin samaniya.
A photographer.##giraffe	Mai sana'ar ɗaukan hoto.
How many people are in the photo?##laptop,person,bed,knife,bed,knife,cell phone,bed	Nawa ne adadin mutane a cikin hoton?
On the nightstand.##bed,bed	Akan tebur ɗin gadon.
2##person,fork,dining table,potted plant,cup,chair,cup,potted plant,potted plant,chair	2
Green.##person,person,person,person,remote,chair,remote,dining table,cell phone,bottle	Kore.
Green.##sheep,sheep,sheep,sheep,sheep,cow,sheep,sheep,sheep,sheep	Koriya.
How many people are in the picture?##person,cell phone	Nawa ne adadin mutane a cikin hoton?
Bathroom.##toilet	Banɗaki.
Grass.##truck	Ciyawa.
One.##person,person,person,person,person,person,person,person,person,person	Ɗaya.
How is she holding her camera?##person,person,horse,frisbee	Yaya take riƙe da kamara?
Silver.##train,person,person,person,person,person,airplane,person,person	Ruwan azurfa.
On the tree.##person,kite,person,person,person,kite,person,kite,kite,car	A kan bishiyan.
No one.##cow,cow,cow	Ba kowa.
What length are the sleeves on the shirt?##umbrella,bicycle,person,car,bench	nawane tsawon hannin rigar?
Where can you see a window?##truck,person,car,car,truck,car	A ina ake ganin taga?
What is on the windows of the red building on the right?##person,car,car,car,umbrella,car,car,baseball glove,car,handbag	Menene a jikin tagogin jan ginin dake dama?
Who is with the man?##person,bed,laptop	Waye tare da mutumin?
On the bus.##bus,person,bus,person,person,person,person,clock	A jikin bas ɗin.
Orange.##cat,bed,bed,teddy bear,umbrella	Ruwan lemo.
Red.##remote,tv,chair,dining table,chair,couch,book,chair,chair,person	Ja.
On the right.##clock,clock	A bangaren dama.
What letters are on the side of the train?##train,traffic light	Wasu harrufa ne a gefen jirgin ƙasan?
What color is the player's shirt?##person,baseball bat	Wani launi ne rigar ɗan wasan?
What is brown on the zebra?##zebra	Mene mai ruwan ƙasa a jikin jakin dawa?
Mustard.##person,cup,cup,person,cup,cup,person,person,bottle,cup	Mustard.
When was the picture taken?##chair,suitcase,suitcase,bed,wine glass,backpack,tie,suitcase,suitcase,handbag	Yaushe aka ɗauka wannan hoton?
Tomatoes.##person,bowl,oven,knife,oven,knife,bowl,knife,bottle,oven	Tumatir.
Girl.##person,teddy bear,teddy bear,tie,teddy bear,teddy bear,bench,potted plant,vase	Yarinya.
Orange and white.##airplane,person,person,person,person,suitcase,suitcase,suitcase,person	orange and white.
What colour is the grass?##zebra,zebra,zebra,zebra,zebra,zebra,zebra,zebra,zebra,zebra	Wani launi ne da ciyawan?
Tennis.##person,person,tennis racket,sports ball,sports ball,person,person,tennis racket,bench,bench	Tanis.
What is big in the ocean?##person,surfboard	Menene abu mai girma a teku?
Aid in showering with water.##sink,sink,toilet,vase	Taimakawa wurin yin wanka da ruwa.
One.##bed,potted plant,potted plant,bed	Ɗaya.
On the zebra.##zebra	Kan jakin dawan.
How is the table colored?##broccoli,broccoli,carrot,carrot,broccoli,carrot,broccoli,broccoli,broccoli,broccoli	Yaya launin teburin yake?
What is behind the batter?##person,person,person,sports ball,baseball bat,baseball bat,bench,chair,bench,frisbee	Menene a bayan ɗan wasan?
Why play with a Frisbee?##person,frisbee	Meyasa wasa da Frisbee?
Two black cows.##cow,cow,cow,cow,elephant	Shanu guda biyu.
Foggy.##toilet,sink	hazo.
The boat.##boat,boat,boat,truck,truck,boat	Jirgin ruwan.
What is in the sky?##person,truck,truck	Menene asarin samaniya?
Blue.##teddy bear,cell phone	Shuɗi
Blue with some rain clouds.##person,frisbee	Shuɗi da dan hadarin ruwan sama.
White snow.##person,skis,car,car,person	Farin dusar ƙanƙara.
What color is the church?##motorcycle,motorcycle,person,person,person,motorcycle,car	Wanne launi ne da cocin?
How many clouds are in the picture?##zebra,zebra,zebra	Nawa ne adadin gajimare a cikin hoton?
Gray.##clock,chair	Ruwan tuka
To indicate which platform this is.##train,person,person,person,person,person,person	Don a nuna wani dandamali ne.
When the doors of the bus open.##person,person,person,person,person,person,backpack,person,person,person	Sanda ƙofofin  bas suka beɗe.
What utensil is on saucer?##person,spoon,cup,donut,chair,cup,person,donut,dining table,donut	Wani kayan aiki ne a kan ƙaramin faranti?
What color is the tip of the umbrella?##umbrella,umbrella,boat,person,boat	Mene launin saman karshen lemar?
Striped.##zebra,zebra,zebra,zebra,zebra	Mai ratsi.
Where was this image taken?##person,skateboard,surfboard,car,person,car	A ina aka ɗauki wannan hoton?
The dock.##boat,boat,person,boat,person,traffic light,car,car	Tashar jirgin ruwan?
Of oak.##chair,book	Na itacen oak.
Window.##person,person,person,person,teddy bear,person,cat	Taga.
On the ground.##person,person,person,suitcase,suitcase,person,traffic light,person,surfboard,person	A ƙasa.
Black.##giraffe,giraffe,giraffe	Baƙi.
Charge cord.##scissors,laptop,bed,apple	Igiyar caji.
How many mirrors on the bus?##person,person,tv,chair,bus,person,scissors,person	Madubi nawa ne a wurin?
Unloading.##person,person,person,person,dog,boat,suitcase,boat,dog,skateboard	Sauke kaya.
Trees.##person,person,cell phone,cell phone	Bishiyu.
How is the man wearing the hood?##person,person,cell phone,cell phone	Yaya mutumin ya sanka riga mai hular?
How many people are on the train?##person,person,person,person,train,handbag,tie,person,handbag	Mutane nawa ne akan jirgin ƙasan?
Grass.##zebra,zebra,zebra,zebra,zebra,zebra,zebra,zebra,zebra,zebra	Ciyawa.
What is on the side of the round food?##cup,person,fork,dining table,broccoli,cup,broccoli,broccoli,pizza,cup	Menene a gefen abinci mai zagaye?
What is green on the outside?##knife,carrot,carrot,bowl,apple,carrot,dining table,knife,carrot,carrot	Mene ne ta waje yake shuɗi.
Walking.##umbrella,person,person,person,person,umbrella,person	Tafiya.
Blue.##person,bus,motorcycle,person,person,person,car,tennis racket,handbag,person	Shuɗi.
Mud.##motorcycle	Taɓo
One.##person,tennis racket	Ɗaya.
What time is it?##clock,person,person,person,car,potted plant,suitcase,person	Mene lokaci?
Waves.##person,surfboard	Igiyar ruwa.
Blue.##person,person,person,person,person,sports ball,bottle	Shuɗi.
The people.##person,person,person,person,person,motorcycle,person,person,person,person	Mutane ne.
How many elephants are pictured?##pizza,carrot,carrot,carrot,carrot,carrot	Giwaye nawa ne a hoton?
What color are the statues?##person,airplane,person,person	Menene launin mutum-mutumin?
When was the picture taken?##stop sign	Yaushe aka ɗauki hoton?
What is on the table?##cell phone	Menene a kan teburin?
What is the shade of the cat's eyes?##cat,tv,book,book,book	Menene launin idon magen?
White.##cat,tv,chair,cup,cell phone,tv	Fari.
Skiing.##person,person,person,person,skis,backpack,skis,skis,backpack,skis	Gudun ƙanƙara
What is flying in the sky?##kite,kite,person,person,truck,person,person,person,person,person	Menene yake tashi a sama?
Blue.##person,person,person,person,person,person,person,person,skis,person	Shuɗi.
1##dog	Ɗaya.
Short.##frisbee,dog	Guntuwa.
When was this taken?##truck,person,person,person	Da yaushe aka ɗauki wannan?
Wood.##bowl,bowl,bowl,bowl,fork,carrot,bowl,carrot,carrot,carrot	Katako.
A corsage.##person,person,cake,knife,dining table,cake,cake,frisbee,cake	Corsage.
A man.##person,skis,skis	Namiji.
What color is this picture?##suitcase,person,bench,bench,person,backpack	Wannan hotan wana launi ne?
How many courts can you see?##person,person,person,car,car,tennis racket,car,car,car,car	Nawane adadin filayen da ka iya gani?
Why is the plane in motion?##airplane	Meyasa jirgin yake motsi?
Vans.##clock,car,car,person,person,person,person	Motoci.
Where are the bananas?##dining table,sandwich,banana,banana,bottle	Ina ayaban?
What is in the water?##boat,boat,boat,boat,boat,boat,boat,boat,boat,boat	Menene a cikin ruwan?
What color vest do the riders have on?##person,horse,person,horse,bird,person	Wani launin riga mahayan suka sanya?
Black and white.##zebra,cow,bird	Baƙi da fari.
Ivy and a tree.##fire hydrant,truck,car,car,potted plant,bicycle,person,traffic light	Ivy da bishiya.
How is the plate shaped?##wine glass,dining table,pizza,broccoli,sandwich	Ya siffar fatanti take?
What fruit is this?##banana,person,bottle,cup,bottle,cup,dining table,bottle,person,bottle	Wanne abun marmari ne wannan?
What is this?##train,person,person,person,person,person,person	Mene wannan?
Who is in the picture?##person,bed,person,remote,person,person	Waye a cikin hoton?
How is the chair lever made?##chair,book	Da me aka yi hannun kujerar?
How many plates are on the table?##pizza,dining table,person	Farantai nawa ne akan tebur din?
Green.##clock,clock,car,car,car,car,car	Koriya.
Why are they walking?##person,traffic light,person,traffic light,person,handbag,bicycle,traffic light,handbag,person	Meyasa suke tafiya?
What is around the sign?##banana,banana,banana,banana,bird,laptop,baseball bat,banana,banana,person	Menene ya zagaye alaman?
Skateboard.##person,skateboard	Allon sulu mai taya.
Groom.##cake,tie,dining table,teddy bear	Ango.
Halfpipe.##person,skateboard,car,car,car,car,car,car,car,car	Rabin pipe.
1##person,person,tennis racket,sports ball,sports ball,person,person,tennis racket,bench,bench	1
Why is the screen on?##cat,tv,book,book,book	Meyasa fuskar a kunne?
When do the animals eat?##sheep,sheep	Da yaushe dabbobin ke cin abinci?
On the dolly.##suitcase,suitcase,suitcase,suitcase,bench,suitcase,suitcase,suitcase	Akan doli.
During the day time.##banana	Da rana
Why is the light on?##tv,remote,couch,remote,dining table,bed,couch,book,chair,book	Meyasa fitilar ke kunne?
Where are the ramps?##stop sign,fire hydrant,truck,car	Ina ramps suke?
What color are the lines on the road?##bus,person,person	Menene launin layukan hanyan?
3 men.##skateboard,person,person,person,car,person,chair,cell phone,person,person	Maza 3.
An athlete.##person,person,person,person,baseball glove,baseball bat,person,person,person,baseball glove	Dan wasa.
Where was this picture taken?##cow,cow,cow,cow,cow,cow,cow,cow,cow,cow	A ina aka ɗauka hoton?
What sex is the person on the right?##person,person,banana,banana,potted plant,vase	Mutumin dake dama wanne jinsi ne?
Leaves.##motorcycle,person,person,person,person,cow,car,person,car,frisbee	Ganyayyaki.
None.##bird,bird	Bakowa.
Green.##dog,car,bench	Kore.
Large house.##car,traffic light,car,traffic light,car,traffic light,traffic light,potted plant,car,traffic light	Babban gida.
Black wrought iron fence.##	Lankwashenshen Baƙar katangar ƙarfe.
Men and a woman.##person,person,person,person,remote,chair,remote,dining table,cell phone,bottle	Maza da mata.
What vehicle are the men walking beside?##person,person,person,train,person	Wani abun hawa ne mutanen suke tafiya a gefen shi?
When it was sunny out.##person,bicycle,car,person,car,person,potted plant,person	Lokacin da rana a waje.
A fork.##broccoli,broccoli,broccoli,broccoli,broccoli,fork,broccoli,broccoli,broccoli,broccoli	Cokali mai yatsu.
3##laptop,chair,dining table,keyboard	3
What is on the person's finger?##donut,cat,person	Menene a yatsan mutumin?
Two.##person,person,skis,skis,skis,boat,person,boat,skis,boat	Biyu.
What is the man holding?##person,umbrella,umbrella,bench,person,backpack,bus,handbag	Me namijin yake riƙe dashi?
What is the boat doing?##boat,person	Me kwale-kwalen yakeyi?
Who was the bench dedicated to?##bench,potted plant,potted plant	Zuwa ga wa aka kaddamar ga bencin?
Where are white lines?##person,person,person,tennis racket,person,person,chair,person,person,person	Ina fararen layuka?
Pink container.##bowl,bowl,sandwich,dining table,bowl,carrot,sandwich,orange,orange,orange	Roba ruwan hoda
How many man on the snow?##person,skis,skis	Maza nawa ne akan dusar ƙanƙarar?
Very low.##horse,kite,kite	Ƙasa-ƙasa sosai.
White.##horse,horse,person,umbrella,umbrella,boat,suitcase	Fari.
What is the round green object?##person,person,person,sports ball,tennis racket,tennis racket,tennis racket,tennis racket,baseball bat,tennis racket	Menene abu kore zagayayye?
Where is the man in the photo?##person,bottle,bottle,cat,refrigerator,bottle,bowl,cup,bottle,bottle	Ina mutumin acikin hoto?
How many of the people are women?##person,person,person,person,person,person,person,surfboard,person,person	Mata nawa a cikin mutanen?
Where is the dog?##dog	Ina kare?
Where is the truck?##chair,chair,chair,truck	Ina babbar motar take?
A house that's half torn down.##oven,bed	Gidan da rabin shi ya rushe.
A person.##person,snowboard,bird	Mutum ne.
Because it matches his suit jacket.##person,tie,refrigerator	Saba ya shiga da kwat da yake sanye da ita.
In the grass.##person,baseball glove	A cikin ciyawa
A farm.##person,sheep,sheep,sheep,scissors,sheep,sheep	Gona.
Blue and gold.##person,person,cell phone,person,person,person,person,person,person,person	Shuɗi da ruwan gwal.
One.##pizza	Ɗaya.
Green.##person,bench,bicycle,person,train,bench,bicycle,person,boat	Kore.
How many men sitting on the bench?##person,umbrella,umbrella,bench,person,backpack,bus,handbag	Nawa ne adadin manyan maza zaune a kan bencin?
Balance.##person,surfboard	Saboda tsaya dai-dai.
Where is the napkin?##carrot,carrot,hot dog,carrot,sandwich	Ina napkin ɗin yake?
What color is the majority of the counter?##knife,cake,dining table,bowl	Wana irin launi ne mafe yawan kantocin?
Its reflection.##cat,person,scissors	Hoton ta.
For air.##clock,clock	Saboda iska.
At a zoo.##giraffe,giraffe	A gidan dabbobi.
Park.##person,person,person,person,person,cup,person,dog,person,handbag	A lambu.
What does the person have on the head?##person,skis,skis	Me mutumin ke sanye dashi a kansa?
Skateboarder.##person,person,person,person,skateboard,person,skateboard,remote,person,person	Mai sulun allo mai taya.
One woman.##person,laptop,person,person,person,person,bottle,cup,cup,laptop	Mace ɗaya.
White.##traffic light	Fari.
Black.##cup,person,laptop,couch,spoon,keyboard	Baƙi.
Mountain.##train	Dutse.
What is the man on the left doing?##person,person,handbag,bench	Ne mutumin na hagu yake yi?
Where is the machinery located?##oven,oven,dining table	A ina jerin mashina suke?
What Birthday is this for?##cake,person,bird	Murnar zagayowar haihuwa ta nawa ne wannan?
What color is the parked car?##car,car,car,car,car,car,traffic light,bus,person,traffic light	Wani launi ne da motar da aka ajiye?
What is on either side of the bench?##bench,potted plant,potted plant	Menene a kowani gefen bencin?
What is the subject of the photograph?##bird,bird,bird,bird,bird,bird	Menene batun hoton?
No one.##fire hydrant,car,fire hydrant,car,train,car	Ba kowa.
What is on the stove?##refrigerator,oven,chair,microwave,microwave,chair	Menene a kan murhun?
Garage.##	Garege.
Train tracks.##train	Hanyar jirgin ƙasa.
Where is this photo taken?##person,person,person,bowl,person,chair,chair,person,person,person	A ina aka ɗauki wannan hoton?
Green.##cat,broccoli	Kore.
Airport tarmac.##airplane	Kwaltar filin jirgin sama.
Ground.##airplane,person,airplane,person,airplane	A ƙasa.
Wood.##bench,bird,bird,car,bus,bird,car,person,person,truck	Katako.
3 statues.##person,airplane,person,person	Gumaka 3.
Traveling down the street.##bus,car,person,person,traffic light,person	Tana tafiya zuwa ƙasan titi.
What is the sport?##person,person,person,person,person,person,sports ball,person,person,person	Wanne wasa ne?
What is the shed made of?##zebra,zebra	Da me aka haɗa rumfar?
Daytime.##train,train,person,person,car,car,train,truck,car,car	da rana.
Blue.##boat,boat,boat,boat,boat,boat,bird,bird,bird,boat	Shuɗi.
What is the fence made of?##umbrella,person,person,person,person,person,person,person,clock,traffic light	Dame akayi shingen?
Table.##broccoli,broccoli,broccoli,carrot,carrot,broccoli,carrot,carrot,broccoli,broccoli	Tebur.
A fence.##person,person,surfboard,surfboard	Danga.
Surfing.##person,person,surfboard,person,person	Sulun igiyar ruwa.
What is on the person's back?##person,motorcycle,car,car,car,backpack,backpack,car,backpack	Menene akan bayan mutumin?
A hat.##person,kite	Hula.
Yellow.##cat,book,laptop,cup,tv,scissors	Rawaya.
How many cats are there?##cat,bottle,dining table,chair,bench,chair,chair	Nawa ne adadin maguna a nan?
Cars.##dog,dog,person,bicycle,dog,car,truck,car,person,person	Motoci.
Where is the cat looking?##cat,horse,remote,couch	Ina magen take kallo?
Who has the white shoes?##tv,couch,chair,cat,book,book,book,book,book,book	Wa yake da farin takalmin?
Where is the light?##traffic light,car,car,car,traffic light,bus,traffic light,parking meter,stop sign,traffic light	Ina fitular?
What is the large black object in front of the windows?##couch,tv,cup,laptop,dining table,chair,chair,chair	Menene babba baƙi abu da yake a gaban tagar?
Suitcase.##person,suitcase,chair,umbrella,suitcase	Akwati
What is the floor made of?##person,person,tie,handbag,refrigerator,chair	Da me akayi ƙasan?
How many stripes are between the eye and nose?##zebra	Nawane adadin ratsi a tsakanin idon da hanci?
Beside a building.##traffic light,traffic light,clock,traffic light,traffic light	Kusa da ginin.
A train.##train,person,person,person,bird	Jirgin kasa.
Black.##pizza,carrot,carrot,carrot,carrot,carrot	Baƙi.
None.##teddy bear,teddy bear,teddy bear,teddy bear,teddy bear,teddy bear,vase,teddy bear,teddy bear,teddy bear	Babu.
Who is holding a leash?##dog,dog,person,bicycle,dog,car,truck,car,person,person	Wa yake rike da leash?
What is behind the plant?##person,remote,potted plant,remote,potted plant,chair	Menene a Bayan shuka?
How many birds are in the picture?##bird,bird	Nawane adadin tsuntsaye a jikin hoton?
Outside on porch.##laptop,chair,dining table,keyboard	Waje a zaure.
What is the woman wearing?##person,person,person,person,teddy bear,person,cat	Me matar take sanye dashi?
Who is taking the picture?##teddy bear,bed,teddy bear,person,teddy bear,book,bed,book	Waye yake ɗaukan hoton?
When is it?##motorcycle,person,person,person,dog,dog	Yaushe a nan?
What kind of pants is the woman wearing?##person,car,car,car,umbrella,car,car,baseball glove,car,handbag	Wanne irin wando matar tasa?
White.##train,person	Fari.
Mini fridge.##refrigerator,microwave,sink,cat,chair,suitcase,bottle,umbrella,bottle	Ƙaramin firji.
The woman.##person,dog,couch,couch,vase	Matar.
Where are the horses walking?##horse,horse,horse,horse,horse,horse,person,person,person,person	Ina dawakai suke tafiya?
Daytime.##person,traffic light,person,traffic light,person,handbag,bicycle,traffic light,handbag,person	Da Rana.
A big brown teddy bear.##person,teddy bear,person,bench,person,person,clock	Babar teddy bear ruwan ƙasa
Clay.##person,tennis racket,person,person,person	Taɓo.
What is dog doing?##horse,person,dog	Me karen yakeyi?
What is mounted to the oven?##oven,oven	Menene manne a jikin tandan?
In a suitcase.##book,cat,person,cat,book,person,suitcase,handbag	A cikin akwati.
Who is walking in the water?##person,surfboard,umbrella,boat,cow,bird,umbrella	Waye yake tafiya cikin ruwa?
Where was this picture taken?##carrot,bottle,dining table,carrot,carrot,carrot,donut,pizza,dining table,carrot	A ina aka ɗauki wannan hoton?
How many condiments are there?##bottle,hot dog,bottle,bottle,bottle,hot dog,hot dog,dining table,hot dog,carrot	Kayan yaji nawane awajan?
What is between the post?##elephant	Menene a tsakanin post ɗin?
Field.##sheep,sheep,sheep,sheep,sheep,sheep,sheep,sheep,sheep,sheep	A filin daji.
What shape are the plates?##bottle,dining table,tv,carrot,carrot,wine glass,tv,carrot,carrot,carrot	Wanne siffa ne da farantan?
They are grazing.##sheep,sheep,sheep,sheep,sheep,sheep,sheep	Suna noma ne.
A man.##person,car,car,car,car,car,car,car,skateboard,car	Mutumin.
What color is the truck?##truck,car	Menene launin babbar motar?
Two.##bed,person,bed,bed	Biyu.
Bending.##person,bird,person,person,bird,person,person,person,person,bird	Lakwashewa.
Cheese.##pizza	Cikui.
What food is this?##pizza,person,dining table,person,chair	Wanne abinci wannan?
What is painted green?##bus,bus,person,person,person	Mene mai fenti kore?
Where is a kite?##person,kite	Ina jirgin ledar?
What is the plane sitting on?##airplane,person,person,person,person,suitcase,suitcase,suitcase,person	A kan me jirgin saman yake zaune?
What color is the boys shirt?##person,toothbrush	Menene launin rigar yaron?
Rainy.##dog,car,car,car,person,traffic light	Na ruwan sama.
Daytime.##chair,chair,tv,chair,chair,chair,chair,chair,chair,chair	Da rana.
A living room.##cat,bed,bed,couch	A ɗaki.
What is the woman with the striped bag doing?##person,train,person,person,person,person,handbag	Me matar da take da jaka me layi-layi takeyi?
No one.##bird,bird,bird,bird,bird,bird	Ba kowa.
Where is the girl riding the bike?##person,bicycle,backpack,baseball glove,person	A ina yarinyar take tuƙa keken?
Who is the man?##person,person,person,person,person,person,person,person,skis,person	Waye mutumin?
A banner.##cow,bench,surfboard,baseball bat,cake,cow	Tuta.
Green.##stop sign,person,person,traffic light,person,bench	Koriya.
Who is wearing a pink sweater?##person,person,person,person,dog,bottle,teddy bear,dining table,bench,dining table	Wa yake sanye da rigar sanyi mai launin ruwan Hoda?
Black.##snowboard,person	Baƙi.
Black.##bowl,bowl,donut,dining table,cup,donut,pizza,apple,apple,hot dog	Baƙi.
Green.##train,train,train,train,truck,person,person,truck	Koriya.
In the living room.##person,cell phone,vase,tv	A falo.
When is this scene taking place?##cow,person,person,person,person,person,person,backpack,person,person	Yaushe wannan abun ya faru?
Elephants.##elephant,elephant,elephant,bird,bird,elephant	Giwaye.
Coffee.##couch,person,tv,tv,tv,person,dining table,sandwich,scissors	Kofi
Glasses.##person,person,person,person,cup,person,person,person,person,person	Tabarau.
Living room.##couch,chair,tv,backpack,chair	Falo.
What is the man doing?##person,motorcycle	Me mutumin ke yi?
Green.##person,surfboard	Kore.
When the clouds move away.##person,surfboard,person,surfboard	Lokacin da hadarin da washe.
How many conveyor belts are there?##donut,donut,donut,donut,donut,donut,donut,donut,donut,donut	Balet din daukan kayan nawa ne awajan?
What color is between the tiles?##toilet	Wani launi ne a tsakanin tayal ɗin?
What color is the kid's apron?##person,person,chair,pizza,dining table,person,carrot,bowl,chair,bowl	Wani launi ne afron din yarinyar?
What design is on the hat band?##dog,chair,bed,couch,couch	Ya zanan jikin hular yake?
One.##giraffe,giraffe,person,person,person,person,person,person,cow,bird	ɗaya
On a railroad.##train,car,truck	Akan titin jirgin ƙasa.
One.##fork,pizza,pizza,dining table,pizza,sandwich	Ɗaya.
None.##clock,chair	Babu.
Trees.##kite,kite,person,person,truck,person,person,person,person,person	Bishiyu.
A zoo.##elephant	A gidan namun daji.
What is the pot resting on?##vase,vase,vase,potted plant,potted plant,potted plant,potted plant	A kan me tukunyar take?
What color is the side of the train?##train,car	Mene launin gefen jirgin ƙasan?
What is on the back of the bus?##bus,car,person,car,car,person,handbag	Menene a bayan bas?
What amount of tracks?##train,person,traffic light,traffic light	Hanyar jirgin ƙasan nawa ne?
What is this bench made of?##person,teddy bear,teddy bear,tie,teddy bear,teddy bear,bench,potted plant,vase	Dame akayi bencin?
What is next to the food?##person,person,person,chair,cup,cup,person,cup,cup,chair	Mene ne kusa da abincin?
Three.##donut,cat,person	Uku.
The computer user.##chair,chair,keyboard,toilet,chair	Mai amfani da kwamfuta.
Who has black stripes?##zebra,zebra,zebra,zebra,zebra,cow,zebra	Wa yake da baƙin layika?
Blue.##person,person,person,skateboard,person,skateboard,person	Shuɗi.
Where are the white chairs?##person,person,person,person,person,chair,person,person,chair,dining table	Ina fararan kugerun?
On a plate.##person,spoon,cup,donut,chair,cup,person,donut,dining table,donut	Akan faranti.
In a department store.##chair,suitcase,suitcase,bed,wine glass,backpack,tie,suitcase,suitcase,handbag	A cikin kantin siyar da kayayyaki.
Brown.##bed,horse,horse,tv,teddy bear,horse	Ruwan ƙasa-ƙasa.
What type of ground is there?##zebra	Wani irin ƙasa ne a gurin?
When was this photo taken?##train	Da yaushe aka ɗauki wannan hoton?
During day hours.##cow,boat,cow,cow,boat,person,boat,boat,boat,person	Da awannin rana.
13##person,frisbee,person,car,person,car,person,car,person,person	13
An airport.##airplane,car,boat,person	A filin jirgin sama.
Four.##person,person,person,chair,handbag,chair,cell phone,car	Huɗu.
Sleeping.##cat,cat,cat,cat	Barci.
What is on the left top of the picture?##bench,kite,bench	Menene a saman hagun hoton?
On his feet.##bench,person	Tana ƙafar sa.
A cell phone.##person,person,cell phone,person,person,person,person,chair	Wayar salula.
What is in the glass?##dining table,bottle,sandwich,cup,bowl,bowl,dining table	Menene a cikin gilas?
A motorcycle.##motorcycle,person,motorcycle,bicycle,truck,car,car,truck,truck,motorcycle	Babur.
On the desk.##scissors,cup,cup,cell phone,mouse,book,book,keyboard,tv,book	Akan tebur.
A car.##car,toilet,truck	mota.
What is the table decoration made from?##person,cup,bench,bowl,bowl,pizza,pizza,bench,person,banana	Daga me akayi adon tebur ɗin?
Security.##airplane,bench,tennis racket	Tsaro.
A clock face.##clock,clock,umbrella	Fuskar agogo.
Why is the sheep on the ground?##carrot,sheep,carrot,carrot,cow	Meyasa tinkiyar take ƙasa?
What is the thing with orange handles?##pizza,cup,dining table,scissors,cell phone,dining table,cup	Menene abu mai hannu ruwan lemo?
Brown.##bed,bed,book,book,remote,bed,bed,bed	Ruwan ƙasa-ƙasa.
Where is the window?##horse,person,person	A ina tagar take.
Cloth.##person,bed,book	kaya.
Four.##elephant,elephant,elephant,elephant	Huɗu.
Green.##car,car,car,car,car,car,traffic light,bus,person,traffic light	Kore.
Up.##elephant,elephant	Sama.
In a bowl.##cat,bowl,bowl,bowl,bowl,dining table,bowl,chair	A cikin kwano.
Blue.##cat,tv,chair,cup,cell phone,tv	Shuɗi.
Near the front door of a home.##cup,dining table,cow,cat	Kusa da kofar gaban gidan.
What is the color of the tanktop?##person,person,person,cell phone,person,motorcycle,person,motorcycle,cell phone,person	Wani launi ne tanktof ɗin?
One.##cup,bottle,bottle,toothbrush,book,book,remote,bottle,book,bottle	ɗaya.
Clear.##bowl,bowl,bowl,bowl,bowl,wine glass,tv,wine glass,bottle,bottle	Bayyananne.
Five.##person,person,person,person	Biyar.
What color is the knife handle?##cup,pizza,pizza,cup,pizza,knife,pizza,dining table,pizza	Mene launin marikar wuƙa?
Green.##person,person,person,bicycle,person,person,motorcycle,motorcycle,tv,motorcycle	Kore.
Middle of the picture.##bird	Tsakiyar hotan
Where is the toilet bowl?##sink,sink,toilet,vase	Ina bahun ɗin bayan gidan?
An umbrella.##person,umbrella,umbrella,tie,tie,kite,boat	Lema.
What color is the man's jacket?##person,person,person,person,person,person,person,cell phone,person,backpack	Menene launin rigar mutumin?
Trees.##car,car,traffic light,car,traffic light,traffic light,car,traffic light,traffic light,car	Bishiyu.
What is photo of?##bed,dog,dog,dog,bed,bed	Hoton meye wannan?
Black.##person,baseball glove,car,car,car,truck,truck	Baƙa.
What are these animals?##elephant,elephant	Wasu dabbobi ne wannan?
What is curved?##airplane,car,airplane,airplane,car,airplane,person	Menene a lanƙwashe?
